sku_ID,sku_name,sku_code,product_name,description,Launch Date,list_price,customer_price,conv_factor_val_to_volm
1,GOAL BTLALU100X0.1L IND,200053,GOAL,NA,NA,NA,240,NA
2,GOAL BTLALU40X0.25L IND,200052,GOAL,NA,NA,NA,590,NA
3,GOAL BTLALU20X0.5L IND,200051,GOAL,NA,NA,NA,1170,NA
4,DELEGATE120SC BTLHPE30X0.100L IND,99057261,DELEGATE,NA,NA,NA,1107,NA
5,BENGARD BAGPE50X0.5KG IND 120221R801,152920,BENGARD,NA,NA,NA,385,NA
6,DITHANEM45 PCHALU40X0.5KG IND,201089,DITHANE M 45,NA,NA,NA,234,NA
7,REKORD 20WP CTN 40X50G (3PP) IN,D12101816,Rekord,NA,NA,NA,156,NA
8,CURZATE M8 CTN 20X300G SAH IN,D10432976,Curzate,NA,NA,NA,518,NA
9,DITHANEM45 PCHALU20X1KG IND,201087,DITHANE M 45,NA,NA,NA,430,NA
10,BENGARD BOXCDB40X0.1KG IND 120221R801,145313,BENGARD,NA,NA,NA,85,NA
11,CURZATE M8 CTN 20X600G SAH IN,D10432986,Curzate,NA,NA,NA,1002,NA
12,SUCCESS BTLHPE50X0.1L IND,175116,SUCCESS,NA,NA,NA,235,NA
13,SUCCESS BTLHPE20X0.25L IND,175117,SUCCESS,NA,NA,NA,515,NA
14,HUMICILG BAGLAM4X5KG IND HWA,214940,HUMICIL G,NA,NA,NA,625,NA
15,CURZATE M8 CTN 60X100G SAH IN,D10432962,Curzate,NA,NA,NA,195,NA
16,TRACER BTLHPE10X20X0.007L IND SS,11113444,TRACER,NA,NA,NA,165,NA
17,DELEGATE120SC BTLHPE2X50X20ML IND,11117444,DELEGATE,NA,NA,NA,252,NA
18,DELEGATE120SC BTLHPE20X0.180L IND,11102967,DELEGATE,NA,NA,NA,1917,NA
19,DURSBAN20EC BTLPET10X1L IND,144266,DURSBAN,NA,NA,NA,330,NA
20,DURSBAN20EC BTLPET20X0.5L IND,144267,DURSBAN,NA,NA,NA,177,NA
21,PREDATOR BTLPET20X0.5L IND,227323,PREDATOR,NA,NA,NA,335,NA
22,PREDATOR BTLPET10X1L IND,227324,PREDATOR,NA,NA,NA,640,NA
23,PREDATOR BTLPET2X5L IND,227325,PREDATOR,NA,NA,NA,3125,NA
24,SYSTHANE 10WP PCHLAM50X0.1KG IND,335730,SYSTHANE,NA,NA,NA,250,NA
25,SYSTHANE 10WP PCHLAM10X0.5KG IND,335731,SYSTHANE,NA,NA,NA,1200,NA
26,TRACER BTLHPE20X0.075L IND,242480,TRACER,NA,NA,NA,1440,NA
27,GALILEO SENSA 25X400 ML BTLS,D15503364,GALILEO SENSA,NA,NA,NA,940,NA
28,MAGISTER 10EC 40X250ML BTL IN,D12035009,Magister,NA,NA,NA,691,NA
29,MAGISTER 10EC 20X500ML BTL IN,D12035014,Magister,NA,NA,NA,1352,NA
30,MAGISTER 10EC 10X1L BTL IN,D12035024,Magister,NA,NA,NA,2442,NA
31,REKORD 20WP CTN 20X100G (3PP) IN,D12101803,Rekord,NA,NA,NA,220,NA
32,REKORD 20WP CTN 8X250G IN (3PP) IN,D12370494,Rekord,NA,NA,NA,532,NA
33,REKORD 20WP CTN 40X50G (3PP) IN,D12101816,Rekord,NA,NA,NA,123,NA
34,GALILEO SENSA 25X200 ML BTLS,D15503375,GALILEO SENSA,NA,NA,NA,490,NA
35,DITHANEM45 PCHALU80X0.25KG IND,201090,DITHANE M 45,NA,NA,NA,120,NA
36,TRANSFORM BTLHPE20X0.15L IND,99034728,TRANSFORM,NA,NA,NA,852,NA
37,SUCCESS BTLHPE10X0.5L IND,231712,SUCCESS,NA,NA,NA,1000,NA
38,DITHANEM45 PCHALU40X0.5KG IND,201089,DITHANE M 45,NA,NA,NA,220,NA
39,GOAL BTLALU100X50ML IND,97017061,GOAL,NA,NA,NA,123,NA
40,EQUATION PRO 50X100ML BTL IN,D12712471N,Equation Pro,NA,NA,NA,554,NA
41,EQUATION PRO 25X200ML BTL IN,D12712484N,Equation Pro,NA,NA,NA,1098,NA
42,MIRACULANEC BTLPET20X0.5L IND,286922,MIRACULAN,NA,NA,NA,243,NA
43,MIRACULANEC BTLPET40X0.25L IND,286921,MIRACULAN,NA,NA,NA,124,NA
44,DURSBAN20EC BTLPET40X0.25L IND,144268,DURSBAN,NA,NA,NA,100,NA
45,PREDATOR BTLPET40X0.25L IND,227322,PREDATOR,NA,NA,NA,180,NA
46,CROP MAX CTN 40X250ML BTL 3PP IN,D15395825,CROPMAX,NA,NA,NA,450,NA
47,KOCIDE 2000 100X100G POUCH IN,D15308187,Kocide 2000,NA,NA,NA,177,NA
48,KOCIDE 2000 20X500G POUCH IN,D15308169,Kocide 2000,NA,NA,NA,735,NA
49,KOCIDE 2000 10X1KG POUCH IN,D15308151,Kocide 2000,NA,NA,NA,1410,NA
50,KOCIDE 2000 40X250G POUCH IN,D15308171,Kocide 2000,NA,NA,NA,386,NA
51,DURSBAN20EC BTLPET2X5L IND,145299,DURSBAN,NA,NA,NA,1625,NA
52,LONDAX POWER CTN 4X4KG PCH IN,D13921066,Londax Power,NA,NA,NA,982,NA
53,EQUATION PRO 10X1L BTL IN,D12712509,Equation Pro,NA,NA,NA,5384,NA
54,CROP MAX CTN 20X500ML BTL 3PP IN,D15395782,CROP MAX 100,NA,NA,NA,875,NA
55,CROP MAX CTN 10X1L BTL 3PP IN,D15395775,CROP MAX 100,NA,NA,NA,1735,NA
56,MAGISTER 10EC 100X100ML BTL IN,D12034974,Magister,NA,NA,NA,318,NA
57,KOCIDE 2000 2X5KG POUCH IN,D15308145,Kocide 2000,NA,NA,NA,6600,NA
58,EQUATION PRO 20X500ML BTL IN,D12712497,Equation Pro,NA,NA,NA,2716,NA
59,ALMIX 20WP CTN 50X8G BTLS IN,D10538149,Almix,NA,NA,NA,207,NA
60,MANZATE 75WP 250G BAG (3PP) IN,D10396802,Manzate,NA,NA,NA,89,NA
61,MANZATE 75WP 500G BAG (3PP) IN,D10396816,Manzate,NA,NA,NA,167,NA
62,REKORD 20WP CTN 4X500G IN (3PP) IN,D12370509,Rekord,NA,NA,NA,998,NA
63,GALILEO WAY 25X400 ML BTLS IN,D15525466,GALILEO WAY,NA,NA,NA,880,NA
64,GALILEO WAY 10X1L BTLS IN,D15525465,GALILEO WAY,NA,NA,NA,2100,NA
65,ALMIX 20WP CTN 50X6X8G SAH IN,D15527612,Almix,NA,NA,NA,207,NA
66,BEAM75WP PCHLAM6X10X0.1KG IND,270662,BEAM,NA,NA,NA,260,NA
67,GALILEO SENSA 10X1L BTLS IN,D15386080,GALILEO SENSA,NA,NA,NA,2245,NA
68,CURZATE M8 CTN 10X1200G SAH IN,D10432995,Curzate,NA,NA,NA,1968,NA
69,GALILEO WAY 25X200 ML BTLS IN,D15525467,GALILEO WAY,NA,NA,NA,460,NA
70,BEAM75WP PCHLAM24X0.25KG IND,270663,BEAM,NA,NA,NA,615,NA
71,DURSBAN20EC BTLPET100X0.1L IND,281641,DURSBAN,NA,NA,NA,47,NA
72,BEAM75WP PCHLAM120X0.05KG IND,273232,BEAM,NA,NA,NA,142,NA
73,DELEGATE120SC BTLHPE20X0.180L IND,11102967,DELEGATE,NA,NA,NA,2124,NA
74,HUMICILPGR BTLHPE100X0.1L IND 120224R801,145320,HUMICIL,NA,NA,NA,95,NA
75,DURSBAN20EC DRMLST20L IND,144264,DURSBAN,NA,NA,NA,6400,NA
76,DURSBAN20EC DRMLST20L IND,144264,DURSBAN,NA,NA,NA,9000,NA
77,GRANITE BTLHPE20X8X5ML IND SS,11047189,GRANITE,NA,NA,NA,150,NA
78,DURSBAN20EC BTLPET20X0.5L IND,144267,DURSBAN,NA,NA,NA,252,NA
